Symbol	Name	Last Trade	Change	Volume
VEC.L	Vectura Group plc	137.40 16:49	Up 4.00(3.00%)	1,733,954
VED.L	Vedanta Resources plc	781.00 16:49	Up 38.50(5.19%)	882,325
VM.L	Virgin Money Holdings (UK) plc	325.50 16:48	Up 3.40(1.06%)	1,027,823
VSVS.L	Vesuvius plc	358.70 16:52	Up 10.30(2.96%)	436,121
WEIR.L	The Weir Group PLC	1,725.00 16:53	Up 126.00(7.88%)	3,579,614
WG.L	John Wood Group PLC	777.00 16:48	Up 14.00(1.83%)	861,231
WIZZ.L	Wizz Air Holdings Plc	1,630.00 16:49	Up 50.00(3.16%)	665,253
WKP.L	Workspace Group plc	674.50 16:52	Up 28.50(4.41%)	1,072,398
WMH.L	William Hill plc	292.00 16:49	Up 1.00(0.34%)	2,498,605
WPCT.L	Woodford Patient Capital Trust	91.40 16:39	Up 3.45(3.92%)	1,747,390
WTAN.L	Witan Investment Trust plc	844.00 16:35	Down 0.50 (0.06%)	223,962
WWH.L	Worldwide Healthcare Trust PLC	2,114.00 16:44	Up 161.00(8.24%)	248,563
ZPLA.L	Zoopla Property Group Plc	301.10 16:49	Up 7.80(2.66%)	683,205
